traceid,prb_id,vantageCC,vantageASN,destination,destination_ip,destCC,hostCC,destASN,hostCo,remote,interCC,hopCC,hopCCdb,finalASN,rtt
12021258,4274,GH,29614,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,FR,FR,16276,192.384
12021258,4274,GH,29614,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,192.172
12021258,4274,GH,29614,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,192.397
12021258,4274,GH,29614,Ndpc.gov.gh,149.56.24.55,CA,CA,16276,OVH SAS,1,1,CA,CA,16276,192.405
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,215.37
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,210.144
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,194.071
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,194.486
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,194.151
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,194.126
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,214.733
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,200.777
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,200.949
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.972
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.904
12021259,14945,GH,3491,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,193.812
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,113.046
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.97
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.913
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,99.14
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,99.477
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,99.206
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,107.281
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,103.561
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,106.206
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.741
12021259,33031,GH,327814,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,98.694
12021259,4274,GH,29614,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,149.582
12021259,4274,GH,29614,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,102.368
12021259,4274,GH,29614,Nab.gov.gh,197.253.124.58,GH,GH,37313,GGoC1-AS,0,1,GH,GH,37313,102.643
